,n_episodes,Mean Reward BC,Mean Reward GAIL,Rescaled Mean Reward BC,Rescaled Mean Reward GAIL
0,4,1607.7184921416715,3511.0204863962194,0.4420731435616424,0.9707378846875264
1,4,3266.2330084034606,3516.468779261155,0.9027452544719596,0.9722512127593268
2,4,2428.3258978393096,3549.884169795019,0.6700065997386998,0.981532734472398
3,11,1992.6164606896093,3453.602764699902,0.54898312711471,0.954789430333854
4,11,2475.116709694604,3627.844740359224,0.683003303630789,1.0031872091588987
5,11,2412.412969512383,3614.236815136912,0.665586594841997,0.9994074462591434
6,18,967.935408969886,3517.9604373076418,0.264365791253527,0.972665538503415
7,18,1996.1613478488875,3569.5835044040264,0.5499677616383101,0.9870044586984328
8,18,3535.011803960823,3476.859216092927,0.9774017581704768,0.961249186007055
9,25,973.0745965605878,3584.2920246092376,0.2657932616630769,0.9910899249303318
10,25,3575.9453868852656,3468.03598962971,0.9887715471400834,0.9587984300323582
11,25,2113.769709172098,3573.379940322877,0.5826348812445847,0.988058963878535
