,n_episodes,Mean Reward BC,Mean Reward GAIL,Rescaled Mean Reward BC,Rescaled Mean Reward GAIL;
0,4,1533.3748747686973,4330.582506329145,0.3184675193470009,0.9000961235990574;
1,4,1081.890647833081,4309.255992471844,0.22458956127497548,0.8956616617634646;
2,4,3610.079690972331,4711.546903073375,0.7502806282717114,0.9793107617431922;
3,11,2182.9996817295064,4492.503087154832,0.4535452180837749,0.9337645722200092;
4,11,3716.6319030748746,4364.464430305719,0.7724362286304159,0.9071412552973703;
5,11,3411.649717632068,3882.496449914566,0.7090207135147629,0.8069247534666834;
6,18,1883.6365622204626,4758.816693557051,0.3912980858365868,0.9891396575148551;
7,18,1031.9052721661374,4518.80743426726,0.21419600880709505,0.939234084216238;
8,18,4321.981446369005,4426.250527651971,0.8983076891463339,0.9199885538519059;
9,25,3852.750338758878,4154.529264805267,0.8007395890483533,0.863489044458329;
10,25,2839.5922933874017,4117.542802642881,0.5900717454577016,0.8557983803399383;
11,25,4254.661629288612,1176.0681439243774,0.8843097539179325,0.24417206383413545;
;
;
